date,USD,EUR,RUB
2014-10-02,12.9549615228,16.4102951244,0.3268000341
2014-10-03,12.9399995809,16.1938891157,0.3241599495
2014-10-04,12.9399995804,16.1931155235,0.3234999895
2014-10-05,12.9399995804,16.1928049244,0.3234999895
2014-10-06,12.9539971177,16.3103137863,0.3253018446
2014-10-07,12.9709980141,16.3781294556,0.3248934349
2014-10-08,12.9499998093,16.4256885134,0.3226825570
2014-10-09,12.9354392267,16.4102531917,0.3224793663
2014-10-10,12.9549973190,16.3678509372,0.3211133720
2014-10-11,12.9499998093,16.3545203001,0.3209854957
2014-10-12,12.9499998093,16.3545203001,0.3209657453
2014-10-13,12.9577998096,16.4393531482,0.3200123988
2014-10-14,12.9563995976,16.4029190003,0.3173199866
2014-10-15,12.9569981862,16.5562198843,0.3181520674
2014-10-16,12.9510082138,16.5900243242,0.3164077513
2014-10-17,12.9554175189,16.5233575747,0.3186295480
2014-10-18,12.9554974775,16.5294021670,0.3170453603
2014-10-19,12.9554974775,16.5298993947,0.3170453603
2014-10-20,12.9560002644,16.5604650420,0.3158716836
2014-10-21,12.9501997613,16.4782121635,0.3165633804
2014-10-22,12.9549973191,16.3988676032,0.3131198044
2014-10-23,12.9549973193,16.3975055179,0.3104523896
2014-10-24,12.9549998200,16.4197003131,0.3101867269
2014-10-25,12.9499998093,16.4082938659,0.3093700869
2014-10-26,12.9499998093,16.4076701859,0.3093700869
2014-10-27,12.9549973191,16.4669252503,0.3063177064
2014-10-28,12.9499998093,16.5080997424,0.3048113932
2014-10-29,12.9569981788,16.5381396201,0.3028640529
2014-10-30,12.9525083435,16.3415158217,0.3116227384
2014-10-31,12.9554916494,16.2200296691,0.3013435660
2014-11-01,8.2799997330,11.3174275172,0.2497661919
2014-11-02,12.9504995346,16.2204698401,0.3010763833
2014-11-03,12.9554974775,16.1763272302,0.2978585071
2014-11-04,12.9534997941,16.2625564595,0.2963403800
2014-11-05,8.3299971695,11.3309632950,0.2496877556
2014-11-06,8.3400001521,11.3417654043,0.2496530976
2014-11-07,12.9584975607,16.0978956061,0.2773802442
2014-11-08,12.9584975607,16.1361461119,0.2774933963
2014-11-09,12.9584975607,16.1394148294,0.2774933963
2014-11-10,14.8089987177,18.3996687327,0.3246358206
2014-11-11,14.8039999008,18.4304498154,0.3171299380
2014-11-12,15.0049981649,18.6922936502,0.3290683251
2014-11-13,15.5599674713,19.4097010482,0.3341765303
2014-11-14,15.5149408881,19.3849448520,0.3279525431
2014-11-15,15.5100002289,19.4273263050,0.3284802595
2014-11-16,15.5100002289,19.4264854812,0.3297369169
2014-11-17,15.3404996225,19.0977051196,0.3250121847
2014-11-18,15.2649985337,19.1324150089,0.3259442826
2014-11-19,15.1049992346,18.9567641279,0.3232260844
2014-11-20,15.1450004578,18.9666997433,0.3272160180
2014-11-21,15.1009918320,18.7175176399,0.3294400209
2014-11-22,15.0959997177,18.7055080854,0.3293050048
2014-11-23,15.0959997177,18.7055080854,0.3293050048
2014-11-24,15.0654998932,18.7261642848,0.3360170635
2014-11-25,15.0119968373,18.7221861753,0.3260880609
2014-11-26,14.9779973219,18.7303718107,0.3184256094
2014-11-27,14.9731007756,18.6774293941,0.3082505597
2014-11-28,14.9689998627,18.6147138032,0.3023385650
2014-11-29,14.9739984005,18.6455959213,0.2976059434
2014-11-30,14.9739984005,18.6455959213,0.2975636581
2014-12-01,15.0609995503,18.8082541478,0.2917201512
2014-12-02,15.1109970735,18.7187183784,0.2800229733
2014-12-03,15.1865001678,18.6891143164,0.2853714509
2014-12-04,15.3463675128,19.0794051175,0.2819402601
2014-12-05,15.4194002151,18.9729197032,0.2912728789
2014-12-06,15.4144001007,18.9381217182,0.2909914684
2014-12-07,15.4144001007,18.9381217182,0.2909914684
2014-12-08,15.5299933328,19.0874131208,0.2885878514
2014-12-09,15.5842911386,19.3475437881,0.2873993185
2014-12-10,15.6519002274,19.4461450328,0.2853591403
2014-12-11,15.6722002029,19.4280254615,0.2812306526
2014-12-12,15.7244649232,19.6254747233,0.2692645700
2014-12-13,15.7603394525,19.6389299163,0.2708811518
2014-12-14,15.7603394525,19.6389299163,0.2709079251
2014-12-15,15.8100417164,19.7162549600,0.2465682467
2014-12-16,15.7737998962,19.7158400200,0.2327935016
2014-12-17,15.8066385303,19.6108654208,0.2613725957
2014-12-18,15.7680076492,19.3837788004,0.2560600477
